Trial.source,Drug_1,canSAR_target_1,Drug_1_target_uniprots,InChI_1,InChIKey_1,SMILES_1,Drug_2,canSAR_target_2,Drug_2_target_uniprots,InChI_2,InChIKey_2,SMILES_2,Patient.population,Disease,Phase,PMID,Results,NCT.Number,Title,Acronym,URL
clinicaltrials.gov,pembrolizumab,,Q15116,,,,abemaciclib,1211300,P11802;Q00534,"InChI=1S/C27H32F2N8/c1-5-35-8-10-36(11-9-35)16-19-6-7-24(30-14-19)33-27-31-15-22(29)25(34-27)20-12-21(28)26-23(13-20)37(17(2)3)18(4)32-26/h6-7,12-15,17H,5,8-11,16H2,1-4H3,(H,30,31,33,34)",UZWDCWONPYILKI-UHFFFAOYSA-N,CCN1CCN(Cc2ccc(Nc3ncc(F)c(n3)c4cc(F)c5nc(C)n(C(C)C)c5c4)nc2)CC1,,,,,,NCT03997448,Abemaciclib and pembrolizumab in Locally Advanced Unresectable or Metastatic Gastroesophageal Adenocarcinoma: Big Ten Cancer Research Consortium BTCRC-GI18-149,,https://ClinicalTrials.gov/show/NCT03997448
clinicaltrials.gov,cabozantinib,1081506,P08581,"InChI=1S/C28H24FN3O5/c1-35-24-15-21-22(16-25(24)36-2)30-14-11-23(21)37-20-9-7-19(8-10-20)32-27(34)28(12-13-28)26(33)31-18-5-3-17(29)4-6-18/h3-11,14-16H,12-13H2,1-2H3,(H,31,33)(H,32,34)",ONIQOQHATWINJY-UHFFFAOYSA-N,COc1cc2nccc(Oc3ccc(NC(=O)C4(CC4)C(=O)Nc5ccc(F)cc5)cc3)c2cc1OC,abiraterone,181093,P05093,"InChI=1S/C24H31NO/c1-23-11-9-18(26)14-17(23)5-6-19-21-8-7-20(16-4-3-13-25-15-16)24(21,2)12-10-22(19)23/h3-5,7,13,15,18-19,21-22,26H,6,8-12,14H2,1-2H3/t18-,19-,21-,22-,23-,24+/m0/s1",GZOSMCIZMLWJML-VJLLXTKPSA-N,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@]34C)[C@@H]1CC=C2c5cccnc5,,prostate cancers,Phase 1,,,NCT01574937,XL-184+Abiraterone in Post-Chemo CRPC,,https://ClinicalTrials.gov/show/NCT01574937
clinicaltrials.gov,olaparib,26590,O95271;P09874;Q9UGN5,"InChI=1S/C24H23FN4O3/c25-20-8-5-15(14-21-17-3-1-2-4-18(17)22(30)27-26-21)13-19(20)24(32)29-11-9-28(10-12-29)23(31)16-6-7-16/h1-5,8,13,16H,6-7,9-12,14H2,(H,27,30)",FDLYAMZZIXQODN-UHFFFAOYSA-N,Fc1ccc(CC2=NNC(=O)c3ccccc23)cc1C(=O)N4CCN(CC4)C(=O)C5CC5,abiraterone,181093,P05093,"InChI=1S/C24H31NO/c1-23-11-9-18(26)14-17(23)5-6-19-21-8-7-20(16-4-3-13-25-15-16)24(21,2)12-10-22(19)23/h3-5,7,13,15,18-19,21-22,26H,6,8-12,14H2,1-2H3/t18-,19-,21-,22-,23-,24+/m0/s1",GZOSMCIZMLWJML-VJLLXTKPSA-N,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@]34C)[C@@H]1CC=C2c5cccnc5,,prostate cancers,Phase 3,,,NCT03732820,Study on Olaparib Plus Abiraterone as First-line Therapy in Men With Metastatic Castration-resistant Prostate Cancer,,https://ClinicalTrials.gov/show/NCT03732820
clinicaltrials.gov,olaparib,26590,O95271;P09874;Q9UGN5,"InChI=1S/C24H23FN4O3/c25-20-8-5-15(14-21-17-3-1-2-4-18(17)22(30)27-26-21)13-19(20)24(32)29-11-9-28(10-12-29)23(31)16-6-7-16/h1-5,8,13,16H,6-7,9-12,14H2,(H,27,30)",FDLYAMZZIXQODN-UHFFFAOYSA-N,Fc1ccc(CC2=NNC(=O)c3ccccc23)cc1C(=O)N4CCN(CC4)C(=O)C5CC5,abiraterone,181093,P05093,"InChI=1S/C24H31NO/c1-23-11-9-18(26)14-17(23)5-6-19-21-8-7-20(16-4-3-13-25-15-16)24(21,2)12-10-22(19)23/h3-5,7,13,15,18-19,21-22,26H,6,8-12,14H2,1-2H3/t18-,19-,21-,22-,23-,24+/m0/s1",GZOSMCIZMLWJML-VJLLXTKPSA-N,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@]34C)[C@@H]1CC=C2c5cccnc5,,prostate cancers,Phase 3,,,NCT03732820,Study on Olaparib Plus Abiraterone as First-line Therapy in Men With Metastatic Castration-resistant Prostate Cancer,,https://ClinicalTrials.gov/show/NCT03732820
clinicaltrials.gov,onapristone,319776,P06401,"InChI=1S/C29H39NO3/c1-28-18-25(19-5-8-21(9-6-19)30(2)3)27-23-12-10-22(32)17-20(23)7-11-24(27)26(28)13-15-29(28,33)14-4-16-31/h5-6,8-9,17,24-26,31,33H,4,7,10-16,18H2,1-3H3/t24-,25+,26-,28+,29+/m0/s1",IEXUMDBQLIVNHZ-YOUGDJEHSA-N,CN(C)c1ccc(cc1)[C@H]2C[C@]3(C)[C@@H](CC[C@]3(O)CCCO)[C@@H]4CCC5=CC(=O)CCC5=C24,abiraterone,181093,P05093,"InChI=1S/C24H31NO/c1-23-11-9-18(26)14-17(23)5-6-19-21-8-7-20(16-4-3-13-25-15-16)24(21,2)12-10-22(19)23/h3-5,7,13,15,18-19,21-22,26H,6,8-12,14H2,1-2H3/t18-,19-,21-,22-,23-,24+/m0/s1",GZOSMCIZMLWJML-VJLLXTKPSA-N,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@]34C)[C@@H]1CC=C2c5cccnc5,,prostate cancers,Phase 1/2,,,NCT02049190,Phase 1-2 Study of Onapristone in Patients With Advanced Castration-resistant Prostate Cancer,,https://ClinicalTrials.gov/show/NCT02049190
clinicaltrials.gov,sipuleucel-T,,,,,,abiraterone,181093,P05093,"InChI=1S/C24H31NO/c1-23-11-9-18(26)14-17(23)5-6-19-21-8-7-20(16-4-3-13-25-15-16)24(21,2)12-10-22(19)23/h3-5,7,13,15,18-19,21-22,26H,6,8-12,14H2,1-2H3/t18-,19-,21-,22-,23-,24+/m0/s1",GZOSMCIZMLWJML-VJLLXTKPSA-N,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@]34C)[C@@H]1CC=C2c5cccnc5,,prostate cancers,Phase 2,,,NCT01487863,Concurrent vs. Sequential Sipuleucel-T & Abiraterone Treatment in Men With Metastatic Castrate Resistant Prostate Cancer,,https://ClinicalTrials.gov/show/NCT01487863
clinicaltrials.gov,AZD6738,,,,,,acalabrutinib,2014063,,"InChI=1S/C26H23N7O2/c1-2-6-21(34)32-15-5-7-19(32)25-31-22(23-24(27)29-14-16-33(23)25)17-9-11-18(12-10-17)26(35)30-20-8-3-4-13-28-20/h3-4,8-14,16,19H,5,7,15H2,1H3,(H2,27,29)(H,28,30,35)/t19-/m0/s1",WDENQIQQYWYTPO-IBGZPJMESA-N,CC#CC(=O)N1CCC[C@H]1c2nc(c3ccc(cc3)C(=O)Nc4ccccn4)c5c(N)nccn25,,leukemia,Phase 1/2,,,NCT03328273,A Study of AZD6738 and Acalabrutinib in Subjects With Relapsed or Refractory Chronic Lymphocytic Leukemia (CLL),,https://ClinicalTrials.gov/show/NCT03328273
clinicaltrials.gov,pembrolizumab,,Q15116,,,,acalabrutinib,2014063,,"InChI=1S/C26H23N7O2/c1-2-6-21(34)32-15-5-7-19(32)25-31-22(23-24(27)29-14-16-33(23)25)17-9-11-18(12-10-17)26(35)30-20-8-3-4-13-28-20/h3-4,8-14,16,19H,5,7,15H2,1H3,(H2,27,29)(H,28,30,35)/t19-/m0/s1",WDENQIQQYWYTPO-IBGZPJMESA-N,CC#CC(=O)N1CCC[C@H]1c2nc(c3ccc(cc3)C(=O)Nc4ccccn4)c5c(N)nccn25,,bladder cancers,Phase 2,,,NCT02351739,Study of the Combination of ACP-196 and pembrolizumab in Subjects With Platinum Resistant Urothelial Bladder Cancer,KEYNOTE143,https://ClinicalTrials.gov/show/NCT02351739
clinicaltrials.gov,pembrolizumab,,Q15116,,,,acalabrutinib,2014063,,"InChI=1S/C26H23N7O2/c1-2-6-21(34)32-15-5-7-19(32)25-31-22(23-24(27)29-14-16-33(23)25)17-9-11-18(12-10-17)26(35)30-20-8-3-4-13-28-20/h3-4,8-14,16,19H,5,7,15H2,1H3,(H2,27,29)(H,28,30,35)/t19-/m0/s1",WDENQIQQYWYTPO-IBGZPJMESA-N,CC#CC(=O)N1CCC[C@H]1c2nc(c3ccc(cc3)C(=O)Nc4ccccn4)c5c(N)nccn25,,lung cancers,Phase 2,,,NCT02448303,pembrolizumab Alone and In Combination With Acalabrutinib (ACP-196) in Subjects With Advanced Non-small Cell Lung Cancer,KEYNOTE166,https://ClinicalTrials.gov/show/NCT02448303
clinicaltrials.gov,acalabrutinib,2014063,,"InChI=1S/C26H23N7O2/c1-2-6-21(34)32-15-5-7-19(32)25-31-22(23-24(27)29-14-16-33(23)25)17-9-11-18(12-10-17)26(35)30-20-8-3-4-13-28-20/h3-4,8-14,16,19H,5,7,15H2,1H3,(H2,27,29)(H,28,30,35)/t19-/m0/s1",WDENQIQQYWYTPO-IBGZPJMESA-N,CC#CC(=O)N1CCC[C@H]1c2nc(c3ccc(cc3)C(=O)Nc4ccccn4)c5c(N)nccn25,ACP-319,,,,,,,lymphoma;multiple myeloma,Phase 1/2,,,NCT02328014,"ACP-196 in Combination With ACP-319, for Treatment of B-Cell Malignancies",,https://ClinicalTrials.gov/show/NCT02328014
clinicaltrials.gov,BI 836845,,,,,,afatinib,755714,O14578;O14976;O15197;O43353;O94804;P00519;P00533;P04626;P06239;P08581;P08631;P12931;P15735;P21860;P30530;P36888;P42681;P42685;P45984;P49674;P51451;P51617;P53779;Q13163;Q13627;Q15303;Q16539;Q16816;Q52WX2;Q8NE63;Q92630;Q9BUB5;Q9H2G2;Q9HBH9;Q9UEE5;Q9UF33;Q9UK32;Q9Y463,"InChI=1S/C24H25ClFN5O3/c1-31(2)8-3-4-23(32)30-21-11-17-20(12-22(21)34-16-7-9-33-13-16)27-14-28-24(17)29-15-5-6-19(26)18(25)10-15/h3-6,10-12,14,16H,7-9,13H2,1-2H3,(H,30,32)(H,27,28,29)/b4-3+/t16-/m0/s1",ULXXDDBFHOBEHA-CWDCEQMOSA-N,CN(C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]4CCOC4,,lung cancers,Phase 1,,,NCT02191891,Xentuzumab (BI 836845) Plus Afatinib in Patients With Epidermal Growth Factor Receptor (EGFR) Mutant Non-small Cell Lung Cancer (NSCLC),,https://ClinicalTrials.gov/show/NCT02191891
clinicaltrials.gov,cetuximab,9,P00533,,,,afatinib,755714,O14578;O14976;O15197;O43353;O94804;P00519;P00533;P04626;P06239;P08581;P08631;P12931;P15735;P21860;P30530;P36888;P42681;P42685;P45984;P49674;P51451;P51617;P53779;Q13163;Q13627;Q15303;Q16539;Q16816;Q52WX2;Q8NE63;Q92630;Q9BUB5;Q9H2G2;Q9HBH9;Q9UEE5;Q9UF33;Q9UK32;Q9Y463,"InChI=1S/C24H25ClFN5O3/c1-31(2)8-3-4-23(32)30-21-11-17-20(12-22(21)34-16-7-9-33-13-16)27-14-28-24(17)29-15-5-6-19(26)18(25)10-15/h3-6,10-12,14,16H,7-9,13H2,1-2H3,(H,30,32)(H,27,28,29)/b4-3+/t16-/m0/s1",ULXXDDBFHOBEHA-CWDCEQMOSA-N,CN(C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]4CCOC4,,advanced solid cancers,Phase 1,,,NCT02020577,Trial of Afatinib (BIBW 2992) + Cetuximab in Advanced Solid Tumours,,https://ClinicalTrials.gov/show/NCT02020577
clinicaltrials.gov,cetuximab,9,P00533,,,,afatinib,755714,O14578;O14976;O15197;O43353;O94804;P00519;P00533;P04626;P06239;P08581;P08631;P12931;P15735;P21860;P30530;P36888;P42681;P42685;P45984;P49674;P51451;P51617;P53779;Q13163;Q13627;Q15303;Q16539;Q16816;Q52WX2;Q8NE63;Q92630;Q9BUB5;Q9H2G2;Q9HBH9;Q9UEE5;Q9UF33;Q9UK32;Q9Y463,"InChI=1S/C24H25ClFN5O3/c1-31(2)8-3-4-23(32)30-21-11-17-20(12-22(21)34-16-7-9-33-13-16)27-14-28-24(17)29-15-5-6-19(26)18(25)10-15/h3-6,10-12,14,16H,7-9,13H2,1-2H3,(H,30,32)(H,27,28,29)/b4-3+/t16-/m0/s1",ULXXDDBFHOBEHA-CWDCEQMOSA-N,CN(C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]4CCOC4,,head and neck cancers,Phase 2,,,NCT02979977,Dual Inhibition of EGFR With Afatinib and Cetuximab in the Treatment of Advanced Squamous Cell Cancers of the Head and Neck,,https://ClinicalTrials.gov/show/NCT02979977
literature,cetuximab,9,P00533,,,,afatinib,755714,O14578;O14976;O15197;O43353;O94804;P00519;P00533;P04626;P06239;P08581;P08631;P12931;P15735;P21860;P30530;P36888;P42681;P42685;P45984;P49674;P51451;P51617;P53779;Q13163;Q13627;Q15303;Q16539;Q16816;Q52WX2;Q8NE63;Q92630;Q9BUB5;Q9H2G2;Q9HBH9;Q9UEE5;Q9UF33;Q9UK32;Q9Y463,"InChI=1S/C24H25ClFN5O3/c1-31(2)8-3-4-23(32)30-21-11-17-20(12-22(21)34-16-7-9-33-13-16)27-14-28-24(17)29-15-5-6-19(26)18(25)10-15/h3-6,10-12,14,16H,7-9,13H2,1-2H3,(H,30,32)(H,27,28,29)/b4-3+/t16-/m0/s1",ULXXDDBFHOBEHA-CWDCEQMOSA-N,CN(C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]4CCOC4,Lung adenocarcinoma with leptomeningeal carcinomatosis,lung cancers,not specified,24999085,We report a patient with non-small cell lung cancer (NSCLC) developed leptomeningeal carcinomatosis (LMC) after 4 years of multiple treatments. High-dose tyrosine kinase inhibitor (TKI) was given for LMC at first but was not effective. She then received dual therapy combining of afatinib and cetuximab. Brain magnetic resonance imaging (MRI) showed a partial response of disease and the patient experienced a clinical benefit. Our case suggests that dual targeting of epidermal growth factor receptor (EGFR) by a combination of afatinib and cetuximab can be a potential novel treatment option in treating LMC when high-dose TKI failed.,,,,
literature,cetuximab,9,P00533,,,,afatinib,755714,O14578;O14976;O15197;O43353;O94804;P00519;P00533;P04626;P06239;P08581;P08631;P12931;P15735;P21860;P30530;P36888;P42681;P42685;P45984;P49674;P51451;P51617;P53779;Q13163;Q13627;Q15303;Q16539;Q16816;Q52WX2;Q8NE63;Q92630;Q9BUB5;Q9H2G2;Q9HBH9;Q9UEE5;Q9UF33;Q9UK32;Q9Y463,"InChI=1S/C24H25ClFN5O3/c1-31(2)8-3-4-23(32)30-21-11-17-20(12-22(21)34-16-7-9-33-13-16)27-14-28-24(17)29-15-5-6-19(26)18(25)10-15/h3-6,10-12,14,16H,7-9,13H2,1-2H3,(H,30,32)(H,27,28,29)/b4-3+/t16-/m0/s1",ULXXDDBFHOBEHA-CWDCEQMOSA-N,CN(C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]4CCOC4,EGFR-mutant non-small-cell lung cancer resistant to EGFR inhibitors,lung cancers,not specified,26056478,"We present two patients who acquired resistance to first-generation TKI and who underwent combination treatment with afatinib plus cetuximab as third-line therapy. Both patients presented partial response, and the time duration of disease control was 8 months and 10 months.",,,,
literature,dasatinib,375,O00238;O00506;O14965;O14976;O15197;O15264;O43283;O43318;O43353;O60674;O94804;O95819;P00519;P00533;P04049;P04626;P06239;P06241;P07333;P07947;P07948;P07949;P08631;P08684;P09619;P09769;P0C1S8;P10721;P11274;P11362;P12931;P15056;P16234;P17948;P21709;P21802;P21860;P22607;P27037;P29317;P29320;P29322;P29323;P29597;P30291;P35968;P36507;P36888;P36894;P36896;P36897;P37023;P37173;P41240;P42680;P42681;P42684;P42685;P43405;P49674;P51451;P51813;P51955;P52333;P53667;P53671;P53778;P54753;P54756;P54760;P54762;P54764;P57059;Q01538;Q02750;Q04771;Q06187;Q07912;Q08345;Q09013;Q12851;Q13043;Q13163;Q13705;Q13882;Q15303;Q15569;Q15759;Q16539;Q16832;Q52WX2;Q56UN5;Q59H18;Q5VT25;Q6DT37;Q6PHR2;Q86Y07;Q8IVH8;Q8N4C8;Q8NG66;Q8NI60;Q8TDR2;Q92918;Q96GD4;Q99640;Q99759;Q9H0K1;Q9H1R3;Q9H2G2;Q9H2K8;Q9H3Y6;Q9NRP7;Q9NYL2;Q9P289;Q9P2K8;Q9UBE8;Q9UF33;Q9UKE5;Q9UL54;Q9Y2K2;Q9Y2U5;Q9Y4K4;Q9Y5S2;Q9Y6R4,"InChI=1S/C22H26ClN7O2S/c1-14-4-3-5-16(23)20(14)28-21(32)17-13-24-22(33-17)27-18-12-19(26-15(2)25-18)30-8-6-29(7-9-30)10-11-31/h3-5,12-13,31H,6-11H2,1-2H3,(H,28,32)(H,24,25,26,27)",ZBNZXTGUTAYRHI-UHFFFAOYSA-N,Cc1nc(Nc2ncc(s2)C(=O)Nc3c(C)cccc3Cl)cc(n1)N4CCN(CCO)CC4,afatinib,755714,O14578;O14976;O15197;O43353;O94804;P00519;P00533;P04626;P06239;P08581;P08631;P12931;P15735;P21860;P30530;P36888;P42681;P42685;P45984;P49674;P51451;P51617;P53779;Q13163;Q13627;Q15303;Q16539;Q16816;Q52WX2;Q8NE63;Q92630;Q9BUB5;Q9H2G2;Q9HBH9;Q9UEE5;Q9UF33;Q9UK32;Q9Y463,"InChI=1S/C24H25ClFN5O3/c1-31(2)8-3-4-23(32)30-21-11-17-20(12-22(21)34-16-7-9-33-13-16)27-14-28-24(17)29-15-5-6-19(26)18(25)10-15/h3-6,10-12,14,16H,7-9,13H2,1-2H3,(H,30,32)(H,27,28,29)/b4-3+/t16-/m0/s1",ULXXDDBFHOBEHA-CWDCEQMOSA-N,CN(C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]4CCOC4,Patients with resistant EGFR-mutant lung cance,lung cancers,Phase 1/2,30880334,"Patients were 72% Caucasian and received median of 2 prior lines of therapy. Maximum-tolerated dose was 30_mg afatinib with 100_mg dasatinib. New or increased pleural effusions were observed in 56% of patients. No radiologic responses were observed, although several EGFR-mutant TKI-resistant patients (26%) had prolonged stable disease over 6 months. The combination reduced the EGFR mutation and T790M variant allele frequency in cell-free DNA (p_<_.05). Nonetheless, the threshold for futility was met, based on 6-month progression-free survival. For EGFR TKI-resistant patients, median progression-free survival was 3.7 months (95% confidence interval (CI), 2.3-5.0) and overall survival was 14.7 months (95% CI, 8.5-20.9).",NCT01999985,,,
clinicaltrials.gov,nivolumab,,Q15116,,,,afatinib,755714,O14578;O14976;O15197;O43353;O94804;P00519;P00533;P04626;P06239;P08581;P08631;P12931;P15735;P21860;P30530;P36888;P42681;P42685;P45984;P49674;P51451;P51617;P53779;Q13163;Q13627;Q15303;Q16539;Q16816;Q52WX2;Q8NE63;Q92630;Q9BUB5;Q9H2G2;Q9HBH9;Q9UEE5;Q9UF33;Q9UK32;Q9Y463,"InChI=1S/C24H25ClFN5O3/c1-31(2)8-3-4-23(32)30-21-11-17-20(12-22(21)34-16-7-9-33-13-16)27-14-28-24(17)29-15-5-6-19(26)18(25)10-15/h3-6,10-12,14,16H,7-9,13H2,1-2H3,(H,30,32)(H,27,28,29)/b4-3+/t16-/m0/s1",ULXXDDBFHOBEHA-CWDCEQMOSA-N,CN(C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]4CCOC4,,head and neck cancers,Phase 1,,,NCT03652233,Afatinib and Nivolumab as Treatment for Recurrent/Metastatic Squamous Cell Carcinoma of the Head and Neck,,https://ClinicalTrials.gov/show/NCT03652233
clinicaltrials.gov,nivolumab,,Q15116,,,,afatinib,755714,O14578;O14976;O15197;O43353;O94804;P00519;P00533;P04626;P06239;P08581;P08631;P12931;P15735;P21860;P30530;P36888;P42681;P42685;P45984;P49674;P51451;P51617;P53779;Q13163;Q13627;Q15303;Q16539;Q16816;Q52WX2;Q8NE63;Q92630;Q9BUB5;Q9H2G2;Q9HBH9;Q9UEE5;Q9UF33;Q9UK32;Q9Y463,"InChI=1S/C24H25ClFN5O3/c1-31(2)8-3-4-23(32)30-21-11-17-20(12-22(21)34-16-7-9-33-13-16)27-14-28-24(17)29-15-5-6-19(26)18(25)10-15/h3-6,10-12,14,16H,7-9,13H2,1-2H3,(H,30,32)(H,27,28,29)/b4-3+/t16-/m0/s1",ULXXDDBFHOBEHA-CWDCEQMOSA-N,CN(C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]4CCOC4,,head and neck cancers,Phase 1,,,NCT03652233,Afatinib and Nivolumab as Treatment for Recurrent/Metastatic Squamous Cell Carcinoma of the Head and Neck,,https://ClinicalTrials.gov/show/NCT03652233
clinicaltrials.gov,trastuzumab,4,P04626,,,,afatinib,755714,O14578;O14976;O15197;O43353;O94804;P00519;P00533;P04626;P06239;P08581;P08631;P12931;P15735;P21860;P30530;P36888;P42681;P42685;P45984;P49674;P51451;P51617;P53779;Q13163;Q13627;Q15303;Q16539;Q16816;Q52WX2;Q8NE63;Q92630;Q9BUB5;Q9H2G2;Q9HBH9;Q9UEE5;Q9UF33;Q9UK32;Q9Y463,"InChI=1S/C24H25ClFN5O3/c1-31(2)8-3-4-23(32)30-21-11-17-20(12-22(21)34-16-7-9-33-13-16)27-14-28-24(17)29-15-5-6-19(26)18(25)10-15/h3-6,10-12,14,16H,7-9,13H2,1-2H3,(H,30,32)(H,27,28,29)/b4-3+/t16-/m0/s1",ULXXDDBFHOBEHA-CWDCEQMOSA-N,CN(C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]4CCOC4,,breast cancers,Phase 1,,,NCT00950742,Phase I Open Label Trial to Assess Safety of BIBW 2992 (Afatinib) in Combination With Herceptin__ in Patients With HER2-positive Advanced Breast Cancer.,,https://ClinicalTrials.gov/show/NCT00950742
