Trial.source,Drug_1,canSAR_target_1,Drug_1_target_uniprots,InChI_1,InChIKey_1,SMILES_1,Drug_2,canSAR_target_2,Drug_2_target_uniprots,InChI_2,InChIKey_2,SMILES_2,Patient.population,Disease,Phase,PMID,Results,NCT.Number,Title,Recruitment,Study.Results,Conditions,Interventions,Sponsor.Collaborators,Gender,Age,Enrollment,Funded.Bys,Study.Types,Study.Designs,Other.IDs,Acronym,Primary.Completion.Date,Outcome.Measures,URL
clinicaltrials.gov,cetuximab,9,P00533,,,,afatinib,755714,O14578;O14976;O15197;O43353;O94804;P00519;P00533;P04626;P06239;P08581;P08631;P12931;P15735;P21860;P30530;P36888;P42681;P42685;P45984;P49674;P51451;P51617;P53779;Q13163;Q13627;Q15303;Q16539;Q16816;Q52WX2;Q8NE63;Q92630;Q9BUB5;Q9H2G2;Q9HBH9;Q9UEE5;Q9UF33;Q9UK32;Q9Y463,"InChI=1S/C24H25ClFN5O3/c1-31(2)8-3-4-23(32)30-21-11-17-20(12-22(21)34-16-7-9-33-13-16)27-14-28-24(17)29-15-5-6-19(26)18(25)10-15/h3-6,10-12,14,16H,7-9,13H2,1-2H3,(H,30,32)(H,27,28,29)/b4-3+/t16-/m0/s1",ULXXDDBFHOBEHA-CWDCEQMOSA-N,CN(C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]4CCOC4,,head and neck cancers,Phase 2,NA,,NCT02979977,Dual Inhibition of EGFR With Afatinib and Cetuximab in the Treatment of Advanced Squamous Cell Cancers of the Head and Neck,Recruiting,No Results Available,Squamous Cell Cancers of the Head and Neck,Drug: cetuximab|Drug: afatinib,Yale University|National Comprehensive Cancer Network|Boehringer Ingelheim,All,"18 Years and older __ (Adult, Senior)",50,Other|Industry,Interventional,Intervention Model: Single Group Assignment|Masking: No masking|Primary Purpose: Treatment,1608018260,null,Nov-14,Tumor shrinkage|Progression-free survival in weeks|Overall survival in months|Duration of response in weeks|Toxicity assessed with National Cancer Institute's Common Terminology Criteria for Adverse Events (CTCAE) version 4.0,https://ClinicalTrials.gov/show/NCT02979977
clinicaltrials.gov,trastuzumab,4,P04626,,,,afatinib,755714,O14578;O14976;O15197;O43353;O94804;P00519;P00533;P04626;P06239;P08581;P08631;P12931;P15735;P21860;P30530;P36888;P42681;P42685;P45984;P49674;P51451;P51617;P53779;Q13163;Q13627;Q15303;Q16539;Q16816;Q52WX2;Q8NE63;Q92630;Q9BUB5;Q9H2G2;Q9HBH9;Q9UEE5;Q9UF33;Q9UK32;Q9Y463,"InChI=1S/C24H25ClFN5O3/c1-31(2)8-3-4-23(32)30-21-11-17-20(12-22(21)34-16-7-9-33-13-16)27-14-28-24(17)29-15-5-6-19(26)18(25)10-15/h3-6,10-12,14,16H,7-9,13H2,1-2H3,(H,30,32)(H,27,28,29)/b4-3+/t16-/m0/s1",ULXXDDBFHOBEHA-CWDCEQMOSA-N,CN(C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]4CCOC4,,breast cancers,Phase 1,NA,,NCT00950742,Phase I Open Label Trial to Assess Safety of BIBW 2992 (Afatinib) in Combination With Herceptin__ in Patients With HER2-positive Advanced Breast Cancer.,Completed,Has Results,Breast Neoplasms,Drug: Trastuzumab|Drug: BIBW 2992,Boehringer Ingelheim,Female,"18 Years and older __ (Adult, Senior)",18,Industry,Interventional,Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,1200.68|2009-010003-89,null,Sep-09,"Number of Participants With Dose Limiting Toxicities (DLT)|Maximum Tolerated Dose (MTD) of Afatinib in Combination With Herceptin(R)|Number of Patients With Objective Response (OR)|Number of Patients With Best Overall Response|Progression Free Survival (PFS)|Summary of Concentration of Afatinib in Plasma|Time From Dosing to the Maximum Concentration of Afatinib in Plasma at Steady State (Tmax,ss)|Summary of Concentration of Herceptin in Plasma",https://ClinicalTrials.gov/show/NCT00950742
clinicaltrials.gov,trametinib,1081334,O00329;P42336;P42338;P42345;P48736;P52333,"InChI=1S/C26H23FIN5O4/c1-13-22-21(23(31(3)24(13)35)30-20-10-7-15(28)11-19(20)27)25(36)33(17-8-9-17)26(37)32(22)18-6-4-5-16(12-18)29-14(2)34/h4-7,10-12,17,30H,8-9H2,1-3H3,(H,29,34)",LIRYPHYGHXZJBZ-UHFFFAOYSA-N,CN1C(=O)C(=C2N(C(=O)N(C3CC3)C(=O)C2=C1Nc4ccc(I)cc4F)c5cccc(NC(=O)C)c5)C,afuresertib,1081472,P31751;Q9Y243;P31749,"InChI=1S/C18H17Cl2FN4OS/c1-25-16(14(19)9-23-25)13-7-15(27-17(13)20)18(26)24-12(8-22)6-10-3-2-4-11(21)5-10/h2-5,7,9,12H,6,8,22H2,1H3,(H,24,26)/t12-/m0/s1",AFJRDFWMXUECEW-LBPRGKRZSA-N,Cn1ncc(Cl)c1c2cc(sc2Cl)C(=O)N[C@H](CN)Cc3cccc(F)c3,,multiple myeloma;advanced solid cancers,Phase 1,NA,,NCT01476137,A Study of the Safety and Activity of the MEK Inhibitor Given Together With the AKT Inhibitor to Patients With Multiple Myeloma or Solid Tumor Cancers,Completed,No Results Available,Cancer,Drug: GSK1120212|Drug: GSK2110183,GlaxoSmithKline,All,"18 Years and older __ (Adult, Senior)",20,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment,115829,null,Feb-09,"Part 1: Safety and tolerability in first 4 weeks as determined by the number of patients with adverse events, serious adverse events, dose reductions or delays, withdrawals due to toxicities and changes in lab values and vital signs from baseline|Part 2A: Number of patients whose disease responds to study drugs, as determined by Overall Response Rate (ORR)|Part 2B: Number of patients whose disease responds to study drugs, as determined by Overall response rate (ORR)|Part 1: Safety and tolerability in continuation as determined by the number of patients with adverse events, serious adverse events, dose reductions or delays, withdrawals due to toxicities and changes in lab values and vital signs from baseline|Part 1: Profile of pharmacokinetic parameters following repeat-dose administration of GSK1120212 and GSK2110183 in combination versus repeat-dose administration of monotherapy GSK2110183 and GSK1120212|Part 2A: Number of patients whose disease responds to study drugs, as shown by PFS; duration of response; change from baseline measures in biomarkers in the PI3K/ATK and MAPK pathways; genetic alterations in PI3K/AKT/RAS/RAF pathway|Part 2B: Number of patients whose disease responds to study drugs, as shown by PFS; duration of response; change from baseline measures in biomarkers in the PI3K/ATK and MAPK pathways; genetic alterations in PI3K/AKT/RAS/RAF pathway",https://ClinicalTrials.gov/show/NCT01476137
clinicaltrials.gov,pentostatin,615,P00813,"InChI=1S/C11H16N4O4/c16-3-8-6(17)1-9(19-8)15-5-14-10-7(18)2-12-4-13-11(10)15/h4-9,16-18H,1-3H2,(H,12,13)/t6-,7+,8+,9+/m0/s1",FPVKHBSQESCIEP-JQCXWYLXSA-N,OC[C@H]1O[C@H](C[C@@H]1O)n2cnc3[C@H](O)CNC=Nc23,alemtuzumab,NA,P31358,,,,,lymphoma;leukemia,Phase 2,NA,,NCT00453193,Alemtuzumab and Pentostatin In T-cell Neoplasms,Terminated,Has Results,Lymphoma|Leukemia,Drug: Pentostatin|Drug: Alemtuzumab,M.D. Anderson Cancer Center|Astex Pharmaceuticals|Bayer,All,"18 Years and older __ (Adult, Senior)",26,Other|Industry,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,2004-0408,null,Feb-06,Number of Participants With Objective Response,https://ClinicalTrials.gov/show/NCT00453193
clinicaltrials.gov,rituximab,16,P11836,,,,alemtuzumab,NA,P31358,,,,,leukemia,Phase 1,NA,,NCT00330252,Weekly Subcutaneous Alemtuzumab and Rituximab for Relapsed CLL,Completed,No Results Available,Chronic Lymphocytic Leukemia,Drug: Rituximab|Drug: Alemtuzumab,"Dana-Farber Cancer Institute|Genzyme, a Sanofi Company",All,"18 Years and older __ (Adult, Senior)",29,Other|Industry,Interventional,Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,05-404,null,Dec-08,"Maximum tolerated dose of alemtuzumab given once weekly|Response rate of combined rituximab and subcutaneous alemtuzumab (complete or partial response)|Dose limiting toxicities defined as non-hematologic toxicity of grade 3 or greater or irreversible grade 2 renal, neurologic or cardiac toxicity or infectious toxicities if grade 4 or greater|Dose limiting toxicities defined as hematologic toxicities of grade 3 or greater neutropenia or thrombocytopenia for greater than 2 weeks OR ANC < 250 or platelets < 20,000|Response rate as measured by Chest/abdominal/pelvic (+/- neck) CT 4 to 8 weeks following conclusion of 8 Weeks of therapy or at time of study withdrawal|Response rate as measured by physical exam of lymph nodes at 4 to 8 weeks following conclusion of 8 Weeks of therapy or at time of study withdrawal, then every 3 months until disease progression",https://ClinicalTrials.gov/show/NCT00330252
clinicaltrials.gov,IMG-7289,NA,,,,,all-trans retinoic acid,273,P10276;P10826;P13631,,,C\C(=C/C=C/C(=C/C(=O)O)/C)\C=C\C1=C(C)CCCC1(C)C,,leukemia,Phase 1,NA,,NCT02842827,"IMG-7289, With and Without ATRA, in Patients With Advanced Myeloid Malignancies",Recruiting,No Results Available,Acute Myeloid Leukemia|Myelodysplastic Syndrome,Drug: IMG-7289|Drug: All-trans retinoic acid,"Imago BioSciences,Inc.",All,"18 Years and older __ (Adult, Senior)",30,Industry,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,IMG-7289-CTP-101,null,Jun-13,"Safety and tolerability as measured by monitoring of adverse events, changes in physical examinations, vital signs and laboratory parameters|Pharmacokinetic parameters as measured by acute and steady state sampling|The adequacy of the treatment regimen in producing a pharmacodynamic effect as measured by the IWG/Cheson response criteria",https://ClinicalTrials.gov/show/NCT02842827
clinicaltrials.gov,pembrolizumab,NA,Q15116,,,,all-trans retinoic acid,273,P10276;P10826;P13631,,,C\C(=C/C=C/C(=C/C(=O)O)/C)\C=C\C1=C(C)CCCC1(C)C,,skin cancers,Phase 1/2,NA,,NCT03200847,Pembrolizumab and All-Trans Retinoic Acid Combination Treatment of Advanced Melanoma,Recruiting,No Results Available,Stage IV Melanoma|Stage III Melanoma|Advanced Melanoma,Drug: Pembrolizumab with All-Trans Retinoic Acid,"University of Colorado, Denver|Merck Sharp & Dohme Corp.",All,"18 Years to 100 Years ï_ (Adult, Senior)",24,Other|Industry,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,16-1080.cc,null,Maximally Tolerated Dose (MTD) and the Recommended Phase 2 Dose (RP2D) of the combination of pembrolizumab and All-Trans Retinoic Acid|Dose-Limiting Toxicity (DLT) for the combined treatment of pembrolizumab and All-Trans Retinoic Acid for each patient,,https://ClinicalTrials.gov/show/NCT03200847
clinicaltrials.gov,AEB071,367295,Q05513;Q04759;Q02156;O94806;P17252;Q05655;P05129;P05771;P24723;P41743;Q15139,"InChI=1S/C25H22N6O2/c1-30-10-12-31(13-11-30)25-27-19-9-5-3-7-16(19)22(28-25)21-20(23(32)29-24(21)33)17-14-26-18-8-4-2-6-15(17)18/h2-9,14,26H,10-13H2,1H3,(H,29,32,33)",OAVGBZOFDPFGPJ-UHFFFAOYSA-N,CN1CCN(CC1)c2nc(C3=C(C(=O)NC3=O)c4c[nH]c5ccccc45)c6ccccc6n2,alpelisib,NA,P42336,"InChI=1S/C19H22F3N5O2S/c1-10-14(11-6-7-24-13(9-11)18(2,3)19(20,21)22)30-16(25-10)26-17(29)27-8-4-5-12(27)15(23)28/h6-7,9,12H,4-5,8H2,1-3H3,(H2,23,28)(H,25,26,29)/t12-/m0/s1",STUWGJZDJHPWGZ-LBPRGKRZSA-N,Cc1nc(NC(=O)N2CCC[C@H]2C(=O)N)sc1c3ccnc(c3)C(C)(C)C(F)(F)F,,skin cancers,Phase 1,NA,,NCT02273219,Trial of AEB071 in Combination With BYL719 in Patients With Melanoma,Recruiting,No Results Available,Uveal Melanoma,Drug: AEB071|Drug: BYL719,Richard D. Carvajal|Columbia University,All,"18 Years and older __ (Adult, Senior)",50,Other,Interventional,Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,AAAN4901|CAEB071AUS01T,null,Sep-14,Total maximum tolerated dose (in milligrams) of AEB071 in combination with BYL719|Number of participants with adverse events|Change in area under the curve (AUC) for the combination of AEB071 and BYL719|Change in peak concentration (Cmax) for the combination of AEB071 and BYL719|Number participants who respond to therapy|Change in numerically calculated toxicity burden (0-10)|Mean months of overall survival,https://ClinicalTrials.gov/show/NCT02273219
clinicaltrials.gov,BGJ398,760906,P11362;P22455;P22607;P21802,,,,alpelisib,NA,P42336,"InChI=1S/C19H22F3N5O2S/c1-10-14(11-6-7-24-13(9-11)18(2,3)19(20,21)22)30-16(25-10)26-17(29)27-8-4-5-12(27)15(23)28/h6-7,9,12H,4-5,8H2,1-3H3,(H2,23,28)(H,25,26,29)/t12-/m0/s1",STUWGJZDJHPWGZ-LBPRGKRZSA-N,Cc1nc(NC(=O)N2CCC[C@H]2C(=O)N)sc1c3ccnc(c3)C(C)(C)C(F)(F)F,,advanced solid cancers,Phase 1,NA,,NCT01928459,Phase 1b Trial of BGJ398/BYL719 in Solid Tumors,Completed,No Results Available,Advanced Solid Tumors|Metastatic Solid Tumors,Drug: BGJ398|Drug: BYL719,Novartis Pharmaceuticals|Novartis,All,"18 Years and older __ (Adult, Senior)",62,Industry,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,CBGJ398X2102,null,Jul-12,Incidence rate of dose limiting toxicities (DLTs) of the combination of BGJ398 with BYL719|Safety and tolerability of BGJ398/BYL719 combination at the recommended dose for expansion (RDE)|Overall response rate|Progression free survival|Time vs. concentration profile of BGJ398 and BYL719,https://ClinicalTrials.gov/show/NCT01928459
clinicaltrials.gov,LGH447,NA,,,,,alpelisib,NA,P42336,"InChI=1S/C19H22F3N5O2S/c1-10-14(11-6-7-24-13(9-11)18(2,3)19(20,21)22)30-16(25-10)26-17(29)27-8-4-5-12(27)15(23)28/h6-7,9,12H,4-5,8H2,1-3H3,(H2,23,28)(H,25,26,29)/t12-/m0/s1",STUWGJZDJHPWGZ-LBPRGKRZSA-N,Cc1nc(NC(=O)N2CCC[C@H]2C(=O)N)sc1c3ccnc(c3)C(C)(C)C(F)(F)F,,multiple myeloma,Phase 1/2,NA,,NCT02144038,Study of the Safety and Effectiveness of LGH447 and BYL719 in Patients With Relapsed and Refractory Multiple Myeloma,Completed,No Results Available,Relapsed and Refractory Multiple Myeloma,Drug: LGH447|Drug: BYL719,Novartis Pharmaceuticals|Novartis,All,"18 Years and older __ (Adult, Senior)",20,Industry,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment,CLGH447X2103C|2013-004959-21,null,Sep-11,"Phase Ib: Number of Total Dose-limiting Toxicities (DLT)|Phase II: Overall Response Rate (ORR) as assessed by Investigators|Phase II: Percent change of ORR (Overall Response Rate) between the two arms|Number of participants with adverse events, serious adverse events, changes in laboratory values, and electrocardiograms (ECGs), as a measure of safety and tolerability.|Determine single and multiple dose Pharmacokinetics (PK) profiles|Changes between pre- and post-treatment levels of pS6RP and 4EBP1 levels in bone marrow aspirates and 4EBP1 in peripheral blood|Phase II: Absolute difference in ORR|Disease Control Rate|Progression Free Survival|Time to response|Duration of Response",https://ClinicalTrials.gov/show/NCT02144038
clinicaltrials.gov,NVP-AUY922,480574,,"InChI=1S/C26H31N3O5/c1-4-27-26(32)24-23(18-7-5-17(6-8-18)15-29-9-11-33-12-10-29)25(34-28-24)20-13-19(16(2)3)21(30)14-22(20)31/h5-8,13-14,16,30-31H,4,9-12,15H2,1-3H3,(H,27,32)",NDAZATDQFDPQBD-UHFFFAOYSA-N,CCNC(=O)c1noc(c2cc(C(C)C)c(O)cc2O)c1c3ccc(CN4CCOCC4)cc3,alpelisib,NA,P42336,"InChI=1S/C19H22F3N5O2S/c1-10-14(11-6-7-24-13(9-11)18(2,3)19(20,21)22)30-16(25-10)26-17(29)27-8-4-5-12(27)15(23)28/h6-7,9,12H,4-5,8H2,1-3H3,(H2,23,28)(H,25,26,29)/t12-/m0/s1",STUWGJZDJHPWGZ-LBPRGKRZSA-N,Cc1nc(NC(=O)N2CCC[C@H]2C(=O)N)sc1c3ccnc(c3)C(C)(C)C(F)(F)F,,stomach cancers;oesophageal cancers,Phase 1,NA,,NCT01613950,PI3K Inhibitor BYL719 in Combination With the HSP90 Inhibitor AUY922 in Patients With Advanced or Metastatic Gastric Cancer,Completed,No Results Available,Stomach Neoplasms Esophageal Neoplasms Metastatic Gastric Cancer Mutated PI3KCA Protein Overexpressed HER2 Protein,Drug: AUY922|Drug: BYL719,Novartis Pharmaceuticals|Novartis,All,"18 Years and older __ (Adult, Senior)",18,Industry,Interventional,Intervention Model: Single Group Assignment|Masking: No masking|Primary Purpose: Treatment,CBYL719X2103|2011-005978-40,null,Feb-10,Incidence rate of Dose Limiting Toxicities.|Frequency of adverse events (AEs)|Best Overall Response (BOR) as per Response Evaluation Criteria In Solid Tumors (RECIST) version 1.1|Plasma concentration versus time profiles of BYL719 as single agent an in combination with AUY922.|Overall response rate (ORR) as per RECIST version 1.1|Progression free survival (PFS) as per RECIST version 1.1|Overall survival (OS)|Overall survival rate at 6 months (OS6)|Frequency and severity of serious adverse events (SAEs)|Plasma concentration versus time profile of AUY922 as single agent and in combination with BYL719|Plasma concentration versus time profile of the AUY922 metabolite BJP762|Severity of adverse events (AEs),https://ClinicalTrials.gov/show/NCT01613950
clinicaltrials.gov,ETBX-011,NA,,,,,ALT-803,NA,,,,,,thyroid cancers;bowel cancers;ovarian cancers;breast cancers;lung cancers;pancreatic cancers,Phase 1/2,NA,,NCT03127098,"QUILT-3.040: ETBX-011 (Ad5 [E1-, E2b-]-CEA(6D)) Vaccine in Combination With ALT-803 (Super-agonist IL-15) in Subjects Having CEA-Expressing Cancer",Not yet recruiting,No Results Available,Thyroid Cancer|Colon Cancer|ovarian Cancers|Breast Cancer|Lung Cancer|Pancreatic Cancer,Biological: ETBX-011|Biological: ALT-803,"NantCell, Inc.",All,"21 Years and older __ (Adult, Senior)",150,Industry,Interventional,Intervention Model: Sequential Assignment|Masking: No masking|Primary Purpose: Treatment,QUILT-3.040,null,Dec-15,Dose-limiting toxicities and maximum tolerated dose of the ETBX-011 plus ALT-803 combination treatment. (Phase 1b)|Overall treatment-emergent AEs and SAEs [safety and tolerability] and preliminarily evaluate Objective response rate (ORR). (Phase 2)|Preliminarily evaluate Duration of Response (DoR)|Preliminarily evaluate Progressive-free survival (PFS)|Preliminarily evaluate Overall Survival (OS),https://ClinicalTrials.gov/show/NCT03127098
clinicaltrials.gov,venetoclax,1150189,P10415,"InChI=1S/C45H50ClN7O7S/c1-45(2)15-11-33(39(26-45)31-3-5-34(46)6-4-31)29-51-17-19-52(20-18-51)35-7-9-38(42(24-35)60-36-23-32-12-16-47-43(32)49-28-36)44(54)50-61(57,58)37-8-10-40(41(25-37)53(55)56)48-27-30-13-21-59-22-14-30/h3-10,12,16,23-25,28,30,48H,11,13-15,17-22,26-27,29H2,1-2H3,(H,47,49)(H,50,54)",LQBVNQSMGBZMKD-UHFFFAOYSA-N,CC1(C)CCC(=C(C1)c2ccc(Cl)cc2)CN3CCN(CC3)c4ccc(C(=O)NS(=O)(=O)c5ccc(NCC6CCOCC6)c(c5)N(=O)=O)c(Oc7cnc8[nH]ccc8c7)c4,alvocidib,262723,P06493;P24941;P11802;Q00534;P50613;P50750,"InChI=1S/C21H20ClNO5/c1-23-7-6-12(17(27)10-23)19-14(24)8-15(25)20-16(26)9-18(28-21(19)20)11-4-2-3-5-13(11)22/h2-5,8-9,12,17,24-25,27H,6-7,10H2,1H3/t12-,17+/m0/s1",BIIVYFLTOXDAOV-YVEFUNNKSA-N,CN1CC[C@@H]([C@H](O)C1)c2c(O)cc(O)c3C(=O)C=C(Oc23)c4ccccc4Cl,,leukemia,Phase 1,NA,,NCT03441555,A Study of Venetoclax and Alvocidib in Patients With Relapsed/Refractory Acute Myeloid Leukemia,Not yet recruiting,No Results Available,Cancer - Acute Myeloid Leukemia,Drug: Venetoclax|Drug: Alvocidib,"AbbVie|Tolero Pharmaceuticals, Inc.",All,"18 Years and older ï_ (Adult, Senior)",44,Industry,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,M16-186|2017-002531-42,null,Dose Escalation Phase: Recommended Phase 2 dose (RPTD) for Venetoclax and Alvocidib|Tmax of venetoclax|Clearance of Alvocidib|AUC0-___ of Alvocidib|Cmax of Venetoclax|Half-life (t1/2) of Alvocidib|AUC0-24 Post-dose of Venetoclax|Cmax of Alvocidib|AUCt Post-dose of Alvocidib|Complete Response (CR) Rate|Combined CR Rate|Objective Response Rate (ORR),,https://ClinicalTrials.gov/show/NCT03441555
clinicaltrials.gov,ganitumab,NA,P08069,,,,AMG 655,NA,,,,,,bowel cancers;lung cancers;ovarian cancers;pancreatic cancers;soft tissue cancers,Phase 1/2,NA,,NCT00819169,"QUILT-3.026: AMG 655 in Combination With AMG 479 in Advanced, Refractory Solid Tumors",Terminated,No Results Available,Colorectal Cancer|Locally Advanced|Metastatic Cancer|Non-Small Cell Lung Cancer|ovarian Cancers|Pancreatic Cancer|Sarcoma|Solid Tumors,Biological: AMG 479|Biological: AMG 655,"NantCell, Inc.",All,"16 Years and older __ (Child, Adult, Senior)",89,Industry,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment,20070411|QUILT-3.026,null,Sep-06,Incedence of dose limiting toxicity|Objective response rate|Time to response|Duration of response|Progression free survival|To evaluate anti-AMG 655 antibody formation and anti-AMG 479 antibody formation|To evaluate the PK of AMG 655 and of AMG 479,https://ClinicalTrials.gov/show/NCT00819169
clinicaltrials.gov,JNJ-809,NA,,,,,apalutamide,NA,,,,,,prostate cancers,Phase 2,NA,,NCT02906605,"A Study of the Clinical Activity and Safety of JNJ-64041809, a Live Attenuated Listeria Monocytogenes Immunotherapy, in Combination With Apalutamide Versus Apalutamide in Subjects With Metastatic Castration-resistant Prostate Cancer",Withdrawn,No Results Available,"Prostatic Neoplasms, Castration-Resistant",Drug: JNJ-809|Drug: Apalutamide,"Janssen Research & Development, LLC",Male,"18 Years and older __ (Adult, Senior)",0,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment,CR108224|64041809PCR2002|2016-001917-26,null,Aug-14,"Time to Prostate-specific Antigen (PSA) Progression|PSA Doubling Time (PSADT)|Radiographic Progression-free Survival|Time to Unequivocal Clinical Progression|Overall Survival|Number of Participants With Adverse Events (AEs) as a Measure of Safety and Tolerability|Blood Culture and Shedding Profile of JNJ-809 From Cultured Samples of Feces, Urine, and Saliva",https://ClinicalTrials.gov/show/NCT02906605
clinicaltrials.gov,fluzoparib,NA,,,,,apatinib,1384455,P35968,"InChI=1S/C24H23N5O.CH4O3S/c25-17-24(11-1-2-12-24)19-5-7-20(8-6-19)29-23(30)21-4-3-13-27-22(21)28-16-18-9-14-26-15-10-18;1-5(2,3)4/h3-10,13-15H,1-2,11-12,16H2,(H,27,28)(H,29,30);1H3,(H,2,3,4)",FYJROXRIVQPKRY-UHFFFAOYSA-N,CS(=O)(=O)O.O=C(Nc1ccc(cc1)C2(CCCC2)C#N)c3cccnc3NCc4ccncc4,,ovarian cancers;breast cancers,Phase 1,NA,,NCT03075462,A Study of Fluzoparib Given in Combination With Apatinib in Ovarian or Breast Cancer Patients,Recruiting,No Results Available,ovarian Cancers|Triple Negative Breast Cancer,Drug: Fluzoparib|Drug: Apatinib,"Jiangsu HengRui Medicine Co., Ltd.|Beijing Cancer Hospital",Female,"18 Years to 70 Years __ (Adult, Senior)",76,Industry|Other,Interventional,Intervention Model: Single Group Assignment|Masking: No masking|Primary Purpose: Treatment,FZPL-I-104-OC/BC,null,Nov-15,The type and incidence of adverse events [safety and tolerability]|Objective Response Rate (ORR)|Disease Control Rate (DOR)|Time to Progression (TTP)|Overall Survival (OS)|Cmax|T1/2 (Half-life)|Area under curve (AUC)|V/F|CL/F,https://ClinicalTrials.gov/show/NCT03075462
clinicaltrials.gov,HS-10241,NA,,,,,apatinib,1384455,P35968,"InChI=1S/C24H23N5O.CH4O3S/c25-17-24(11-1-2-12-24)19-5-7-20(8-6-19)29-23(30)21-4-3-13-27-22(21)28-16-18-9-14-26-15-10-18;1-5(2,3)4/h3-10,13-15H,1-2,11-12,16H2,(H,27,28)(H,29,30);1H3,(H,2,3,4)",FYJROXRIVQPKRY-UHFFFAOYSA-N,CS(=O)(=O)O.O=C(Nc1ccc(cc1)C2(CCCC2)C#N)c3cccnc3NCc4ccncc4,,advanced solid cancers,Phase 1,NA,,NCT03243643,"Tolerability, Safety, Pharmacokinetics and Efficacy of HS-10241 Single Agent or Combined With Apatinib in Patients With Advanced Solid Tumors",Not yet recruiting,No Results Available,Advanced Cancer,Drug: HS-10241|Drug: Apatinib,"Jiangsu Hansoh Pharmaceutical Co., Ltd.",All,"18 Years to 75 Years __ (Adult, Senior)",80,Industry,Interventional,Intervention Model: Single Group Assignment|Masking: No masking|Primary Purpose: Other,HS-10241-I-101,HS:Hansoh;,Jun-15,Dose Limiting Toxicities (DLT)|Maximum Tolerated Dose (MTD)|Adverse events and Serious Adverse Events|The measurement of maximum plasma concentration (Cmax)|The measurement of the area under the plasma concentration-time versus time curve(AUC)|The measurement of time of maximum plasma concentration (Tmax)|The measurement of elimination half life (T1/2)|The Measurement of mean retention time (MRT)|The measurement of apparent volume of distribution (Vd)|The measurement of clearance (Cl)|Duration of Response Rate|Progression-Free Survival|Objective Response Rate,https://ClinicalTrials.gov/show/NCT03243643
clinicaltrials.gov,SHR-1210,841778,,"InChI=1S/C23H27FN4O2/c1-4-27(5-2)10-11-28-9-8-19-21(23(28)30)14(3)20(25-19)13-17-16-12-15(24)6-7-18(16)26-22(17)29/h6-7,12-13,25H,4-5,8-11H2,1-3H3,(H,26,29)/b17-13-",GKEYKDOLBLYGRB-LGMDPLHJSA-N,CCN(CC)CCN1CCc2[nH]c(\C=C\3/C(=O)Nc4ccc(F)cc34)c(C)c2C1=O,apatinib,1384455,P35968,"InChI=1S/C24H23N5O.CH4O3S/c25-17-24(11-1-2-12-24)19-5-7-20(8-6-19)29-23(30)21-4-3-13-27-22(21)28-16-18-9-14-26-15-10-18;1-5(2,3)4/h3-10,13-15H,1-2,11-12,16H2,(H,27,28)(H,29,30);1H3,(H,2,3,4)",FYJROXRIVQPKRY-UHFFFAOYSA-N,CS(=O)(=O)O.O=C(Nc1ccc(cc1)C2(CCCC2)C#N)c3cccnc3NCc4ccncc4,,breast cancers,Phase 1/2,NA,,NCT03394287,A Trial of SHR-1210 (an Anti-PD-1 Inhibitor) in Combination With Apatinib in Patients With Advanced TNBC,Recruiting,No Results Available,Breast Cancer,Drug: SHR-1210|Drug: Apatinib,Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University,Female,"18 Years to 70 Years ï_ (Adult, Senior)",64,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,SHR-1210-APTN-IIT-TNBC,null,MTD (phase 1b)|ORR (phase 2)|Incidence of Treatment-Emergent Adverse Events (phase 1b/2)|DCR (phase 2)|DoR (phase 2)|PFS (phase 2)|12m-OS (phase 2)|CBR (phase 2)|TTR (phase 2)|Frequencies Of Biomarkers,,https://ClinicalTrials.gov/show/NCT03394287
